,spec.name,Old.name,scientificName,Fuzzy.dist,taxonRank,taxonomicStatus,manual name,manual.auth
805,Galium veri,,NA,NA,NA,NA,Galium verum,L.
1105,Gernaium palustris,,NA,NA,NA,NA,Geranium palustre,L.
1106,Gernaium pratensis,,NA,NA,NA,NA,Geranium pratense,L.
1115,Gernaium pyrenaica,,NA,NA,NA,NA,Geranium pyrenaicum,Burm.f.
332,Gernaium rotundifoliae,,NA,NA,NA,NA,Geranium rotundifolium,L.
354,Glaucii lutei,,Glaucium,6,genus,Accepted,Glaucium flavum,Crantz
1080,Polypodii dryopteridis,,Polypodium,14,genus,Accepted,Gymnocarpium dryopteris,(L.) Newman
1109,Hedysari pabularis,,Hedysarum,10,genus,Accepted,Hedysarum boreale subsp. boreale,Nutt.
816,Heteropteridis angustifoliae,Heteropteris,Hemionitis,16,genus,Accepted,Heteropterys glabra,Hook. & Arn.
1045,Holci lanati,,Holcus,8,genus,Accepted,Holcus lanatus,L.
1147,Holostei umbellati,,Holosteum,9,genus,Accepted,Holosteum umbellatum,L.
23,Houstoniatum coerulea,,Houstonia coerulea var. elatior,16,variety,Unchecked,Houstonia coerulea ,L.
735,Humili lupuli,,Humiria,8,genus,Accepted,Humulus lupulus,L.
9,Hygrophylla scrphyllum,,Hygrophila,13,genus,Accepted,Hygrophila serpyllum,T.Anderson
761,Sedi telephii,,Reseda telephiifolia,9,species,Accepted,Hylotelephium telephium,(L.) H. Ohba
378,Hypercium hirsulum,,NA,NA,NA,NA,Hypericum hirsutum,L.
104,Prini coriaceae,,Prinos,10,genus,Accepted,Ilex coriacea,Pursh
727,Ilicem opacum,,NA,NA,NA,NA,Ilex opaca,Aiton
133,Acnisti arborescentis,,Acnistus,14,genus,Unchecked,Iochroma arborescens,
960,Lamii purpurei,,Lamium,9,genus,Accepted,Lamium purpureum,L.
93,Lathryi nigri,Lathriogyna,Amphithalea,7,genus,Accepted,Lathyrus niger,(L.) Bernh.
681,Leucothoeae acuminatis,,Leucothoe,13,genus,Accepted,Leucothoe acuminata,(Aiton) G.Don
929,Ligustri vulgaris,,Ligustrum,9,genus,Accepted,Ligustrum vulgare,L.
